Chromosome Name	Gene Start (bp)	Gene End (bp)	Associated Gene Name	Description	Transcript Biotype	Ensembl Gene ID
16	66637777	66647795	CMTM3	CKLF-like MARVEL transmembrane domain containing 3 [Source:HGNC Symbol;Acc:19174]	protein_coding	ENSG00000140931
16	84511681	84587639	TLDC1	TBC/LysM-associated domain containing 1 [Source:HGNC Symbol;Acc:29325]	protein_coding	ENSG00000140950
17	2240792	2284352	SGSM2	small G protein signaling modulator 2 [Source:HGNC Symbol;Acc:29026]	protein_coding	ENSG00000141258
17	76106539	76128488	TMC6	transmembrane channel-like 6 [Source:HGNC Symbol;Acc:18021]	protein_coding	ENSG00000141524
17	80186273	80219005	SLC16A3	solute carrier family 16 (monocarboxylate transporter), member 3 [Source:HGNC Symbol;Acc:10924]	protein_coding	ENSG00000141526
17	37844167	37886679	ERBB2	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2 [Source:HGNC Symbol;Acc:3430]	protein_coding	ENSG00000141736
17	37884749	37887040	MIEN1	migration and invasion enhancer 1 [Source:HGNC Symbol;Acc:28230]	protein_coding	ENSG00000141741
17	37824234	37826728	PNMT	phenylethanolamine N-methyltransferase [Source:HGNC Symbol;Acc:9160]	protein_coding	ENSG00000141744
19	3359561	3469215	NFIC	nuclear factor I/C (CCAAT-binding transcription factor) [Source:HGNC Symbol;Acc:7786]	protein_coding	ENSG00000141905
19	50058968	50093519	NOSIP	nitric oxide synthase interacting protein [Source:HGNC Symbol;Acc:17946]	protein_coding	ENSG00000142546
1	27695603	27701315	FCN3	ficolin (collagen/fibrinogen domain containing) 3 [Source:HGNC Symbol;Acc:3625]	protein_coding	ENSG00000142748
1	32042116	32053288	TINAGL1	tubulointerstitial nephritis antigen-like 1 [Source:HGNC Symbol;Acc:19168]	protein_coding	ENSG00000142910
1	151778547	151804348	RORC	RAR-related orphan receptor C [Source:HGNC Symbol;Acc:10260]	protein_coding	ENSG00000143365
1	151336778	151345209	SELENBP1	selenium binding protein 1 [Source:HGNC Symbol;Acc:10719]	protein_coding	ENSG00000143416
1	214454445	214510474	SMYD2	SET and MYND domain containing 2 [Source:HGNC Symbol;Acc:20982]	protein_coding	ENSG00000143499
1	224544552	224567161	CNIH4	cornichon family AMPA receptor auxiliary protein 4 [Source:HGNC Symbol;Acc:25013]	protein_coding	ENSG00000143771
1	228327663	228336685	GUK1	guanylate kinase 1 [Source:HGNC Symbol;Acc:4693]	protein_coding	ENSG00000143774
2	219262979	219270664	CTDSP1	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 1 [Source:HGNC Symbol;Acc:21614]	protein_coding	ENSG00000144579
3	183852826	184402546	EIF2B5	eukaryotic translation initiation factor 2B, subunit 5 epsilon, 82kDa [Source:HGNC Symbol;Acc:3261]	protein_coding	ENSG00000145191
6	43267448	43276535	CRIP3	cysteine-rich protein 3 [Source:HGNC Symbol;Acc:17751]	protein_coding	ENSG00000146215
7	1036622	1177896	C7orf50	chromosome 7 open reading frame 50 [Source:HGNC Symbol;Acc:22421]	protein_coding	ENSG00000146540
7	76018651	76039012	SRCRB4D	scavenger receptor cysteine rich domain containing, group B (4 domains) [Source:HGNC Symbol;Acc:14461]	protein_coding	ENSG00000146700
7	56019486	56067874	GBAS	glioblastoma amplified sequence [Source:HGNC Symbol;Acc:4179]	protein_coding	ENSG00000146729
7	150872785	150884919	ASB10	ankyrin repeat and SOCS box containing 10 [Source:HGNC Symbol;Acc:17185]	protein_coding	ENSG00000146926
8	19261672	19615540	CSGALNACT1	chondroitin sulfate N-acetylgalactosaminyltransferase 1 [Source:HGNC Symbol;Acc:24290]	protein_coding	ENSG00000147408
8	144656955	144660819	NAPRT1	nicotinate phosphoribosyltransferase domain containing 1 [Source:HGNC Symbol;Acc:30450]	protein_coding	ENSG00000147813
9	139886870	139888436	C9orf142	chromosome 9 open reading frame 142 [Source:HGNC Symbol;Acc:27849]	protein_coding	ENSG00000148362
11	46354455	46402104	DGKZ	diacylglycerol kinase, zeta [Source:HGNC Symbol;Acc:2857]	protein_coding	ENSG00000149091
11	47185848	47198676	ARFGAP2	ADP-ribosylation factor GTPase activating protein 2 [Source:HGNC Symbol;Acc:13504]	protein_coding	ENSG00000149182
20	60963688	60982341	CABLES2	Cdk5 and Abl enzyme substrate 2 [Source:HGNC Symbol;Acc:16143]	protein_coding	ENSG00000149679
11	64856796	64879332	VPS51	vacuolar protein sorting 51 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:1172]	protein_coding	ENSG00000149823
16	30907928	30914881	CTF1	cardiotrophin 1 [Source:HGNC Symbol;Acc:2499]	protein_coding	ENSG00000150281
10	320130	735683	DIP2C	DIP2 disco-interacting protein 2 homolog C (Drosophila) [Source:HGNC Symbol;Acc:29150]	protein_coding	ENSG00000151240
10	13685706	14504141	FRMD4A	FERM domain containing 4A [Source:HGNC Symbol;Acc:25491]	protein_coding	ENSG00000151474
4	17461884	17513857	QDPR	quinoid dihydropteridine reductase [Source:HGNC Symbol;Acc:9752]	protein_coding	ENSG00000151552
16	81478775	81745367	CMIP	c-Maf inducing protein [Source:HGNC Symbol;Acc:24319]	protein_coding	ENSG00000153815
16	84178865	84212373	DNAAF1	dynein, axonemal, assembly factor 1 [Source:HGNC Symbol;Acc:30539]	protein_coding	ENSG00000154099
11	124753587	124768396	ROBO4	roundabout, axon guidance receptor, homolog 4 (Drosophila) [Source:HGNC Symbol;Acc:17985]	protein_coding	ENSG00000154133
3	16299485	16306479	DPH3	diphthamide biosynthesis 3 [Source:HGNC Symbol;Acc:27717]	protein_coding	ENSG00000154813
3	16306706	16391806	OXNAD1	oxidoreductase NAD-binding domain containing 1 [Source:HGNC Symbol;Acc:25128]	protein_coding	ENSG00000154814
17	48450581	48458844	EME1	essential meiotic structure-specific endonuclease 1 [Source:HGNC Symbol;Acc:24965]	protein_coding	ENSG00000154920
3	184529931	184770402	VPS8	vacuolar protein sorting 8 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:29122]	protein_coding	ENSG00000156931
3	9879533	9886286	RPUSD3	RNA pseudouridylate synthase domain containing 3 [Source:HGNC Symbol;Acc:28437]	protein_coding	ENSG00000156990
11	44748015	44953972	TSPAN18	tetraspanin 18 [Source:HGNC Symbol;Acc:20660]	protein_coding	ENSG00000157570
1	2517930	2522908	FAM213B	family with sequence similarity 213, member B [Source:HGNC Symbol;Acc:28390]	protein_coding	ENSG00000157870
8	22462145	22479027	CCAR2	cell cycle and apoptosis regulator 2 [Source:HGNC Symbol;Acc:23360]	protein_coding	ENSG00000158941
9	139834887	139839148	FBXW5	F-box and WD repeat domain containing 5 [Source:HGNC Symbol;Acc:13613]	protein_coding	ENSG00000159069
17	43471275	43511787	ARHGAP27	Rho GTPase activating protein 27 [Source:HGNC Symbol;Acc:31813]	protein_coding	ENSG00000159314
4	1205236	1243741	CTBP1	C-terminal binding protein 1 [Source:HGNC Symbol;Acc:2494]	protein_coding	ENSG00000159692
16	67700719	67702661	C16orf86	chromosome 16 open reading frame 86 [Source:HGNC Symbol;Acc:33755]	protein_coding	ENSG00000159761
17	906758	1132315	ABR	active BCR-related [Source:HGNC Symbol;Acc:81]	protein_coding	ENSG00000159842
21	45285067	45406417	AGPAT3	1-acylglycerol-3-phosphate O-acyltransferase 3 [Source:HGNC Symbol;Acc:326]	protein_coding	ENSG00000160216
9	135973107	136039301	RALGDS	ral guanine nucleotide dissociation stimulator [Source:HGNC Symbol;Acc:9842]	protein_coding	ENSG00000160271
9	139221932	139254057	GPSM1	G-protein signaling modulator 1 [Source:HGNC Symbol;Acc:17858]	protein_coding	ENSG00000160360
9	131464802	131483197	PKN3	protein kinase N3 [Source:HGNC Symbol;Acc:17999]	protein_coding	ENSG00000160447
9	134165081	134184649	PPAPDC3	phosphatidic acid phosphatase type 2 domain containing 3 [Source:HGNC Symbol;Acc:28174]	protein_coding	ENSG00000160539
1	153920145	153931101	CRTC2	CREB regulated transcription coactivator 2 [Source:HGNC Symbol;Acc:27301]	protein_coding	ENSG00000160741
3	47021173	47051193	NBEAL2	neurobeachin-like 2 [Source:HGNC Symbol;Acc:31928]	protein_coding	ENSG00000160796
3	46963216	47023500	CCDC12	coiled-coil domain containing 12 [Source:HGNC Symbol;Acc:28332]	protein_coding	ENSG00000160799
3	46899362	46923659	MYL3	myosin, light chain 3, alkali; ventricular, skeletal, slow [Source:HGNC Symbol;Acc:7584]	protein_coding	ENSG00000160808
8	145649000	145653931	VPS28	vacuolar protein sorting 28 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:18178]	protein_coding	ENSG00000160948
8	145654165	145669827	TONSL	tonsoku-like, DNA repair protein [Source:HGNC Symbol;Acc:7801]	protein_coding	ENSG00000160949
8	145703352	145727504	PPP1R16A	protein phosphatase 1, regulatory subunit 16A [Source:HGNC Symbol;Acc:14941]	protein_coding	ENSG00000160972
8	146015150	146017972	RPL8	ribosomal protein L8 [Source:HGNC Symbol;Acc:10368]	protein_coding	ENSG00000161016
3	183903811	183911800	ABCF3	ATP-binding cassette, sub-family F (GCN20), member 3 [Source:HGNC Symbol;Acc:72]	protein_coding	ENSG00000161204
17	37827375	37853050	PGAP3	post-GPI attachment to proteins 3 [Source:HGNC Symbol;Acc:23719]	protein_coding	ENSG00000161395
17	41878167	41910538	MPP3	membrane protein, palmitoylated 3 (MAGUK p55 subfamily member 3) [Source:HGNC Symbol;Acc:7221]	protein_coding	ENSG00000161647
17	41924516	41940997	CD300LG	CD300 molecule-like family member g [Source:HGNC Symbol;Acc:30455]	protein_coding	ENSG00000161649
17	42247815	42256451	ASB16	ankyrin repeat and SOCS box containing 16 [Source:HGNC Symbol;Acc:19768]	protein_coding	ENSG00000161664
17	43186335	43210721	PLCD3	phospholipase C, delta 3 [Source:HGNC Symbol;Acc:9061]	protein_coding	ENSG00000161714
6	33689444	33714762	IP6K3	inositol hexakisphosphate kinase 3 [Source:HGNC Symbol;Acc:17269]	protein_coding	ENSG00000161896
16	1826713	1843701	SPSB3	splA/ryanodine receptor domain and SOCS box containing 3 [Source:HGNC Symbol;Acc:30629]	protein_coding	ENSG00000162032
11	64126620	64139687	RPS6KA4	ribosomal protein S6 kinase, 90kDa, polypeptide 4 [Source:HGNC Symbol;Acc:10433]	protein_coding	ENSG00000162302
1	16062900	16067891	SLC25A34	solute carrier family 25, member 34 [Source:HGNC Symbol;Acc:27653]	protein_coding	ENSG00000162461
1	2115903	2144159	C1orf86	chromosome 1 open reading frame 86 [Source:HGNC Symbol;Acc:26428]	protein_coding	ENSG00000162585
1	154916552	154928599	PBXIP1	pre-B-cell leukemia homeobox interacting protein 1 [Source:HGNC Symbol;Acc:21199]	protein_coding	ENSG00000163346
1	154929502	154936329	PYGO2	pygopus family PHD finger 2 [Source:HGNC Symbol;Acc:30257]	protein_coding	ENSG00000163348
3	58223233	58281420	ABHD6	abhydrolase domain containing 6 [Source:HGNC Symbol;Acc:21398]	protein_coding	ENSG00000163686
3	47537130	47555251	ELP6	elongator acetyltransferase complex subunit 6 [Source:HGNC Symbol;Acc:25976]	protein_coding	ENSG00000163832
3	52435029	52444366	BAP1	BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase) [Source:HGNC Symbol;Acc:950]	protein_coding	ENSG00000163930
3	48509197	48542259	SHISA5	shisa family member 5 [Source:HGNC Symbol;Acc:30376]	protein_coding	ENSG00000164054
7	44102326	44105186	PGAM2	phosphoglycerate mutase 2 (muscle) [Source:HGNC Symbol;Acc:8889]	protein_coding	ENSG00000164708
7	97736197	97838945	LMTK2	lemur tyrosine kinase 2 [Source:HGNC Symbol;Acc:17880]	protein_coding	ENSG00000164715
7	855528	936072	SUN1	Sad1 and UNC84 domain containing 1 [Source:HGNC Symbol;Acc:18587]	protein_coding	ENSG00000164828
7	1084212	1098897	GPR146	G protein-coupled receptor 146 [Source:HGNC Symbol;Acc:21718]	protein_coding	ENSG00000164849
9	33384765	33402643	AQP7	aquaporin 7 [Source:HGNC Symbol;Acc:640]	protein_coding	ENSG00000165269
5	180467225	180488523	BTNL9	butyrophilin-like 9 [Source:HGNC Symbol;Acc:24176]	protein_coding	ENSG00000165810
11	47199076	47207994	PACSIN3	protein kinase C and casein kinase substrate in neurons 3 [Source:HGNC Symbol;Acc:8572]	protein_coding	ENSG00000165912
14	103995521	104003410	TRMT61A	tRNA methyltransferase 61 homolog A (S. cerevisiae) [Source:HGNC Symbol;Acc:23790]	protein_coding	ENSG00000166166
10	75404639	75423561	SYNPO2L	synaptopodin 2-like [Source:HGNC Symbol;Acc:23532]	protein_coding	ENSG00000166317
11	8040791	8127659	TUB	tubby bipartite transcription factor [Source:HGNC Symbol;Acc:12406]	protein_coding	ENSG00000166402
17	19281034	19286857	MAPK7	mitogen-activated protein kinase 7 [Source:HGNC Symbol;Acc:6880]	protein_coding	ENSG00000166484
16	66965959	66968326	FAM96B	family with sequence similarity 96, member B [Source:HGNC Symbol;Acc:24261]	protein_coding	ENSG00000166595
17	27941774	27949925	CORO6	coronin 6 [Source:HGNC Symbol;Acc:21356]	protein_coding	ENSG00000167549
8	145734457	145736596	MFSD3	major facilitator superfamily domain containing 3 [Source:HGNC Symbol;Acc:25157]	protein_coding	ENSG00000167700
8	145728356	145732557	GPT	glutamic-pyruvate transaminase (alanine aminotransferase) [Source:HGNC Symbol;Acc:4552]	protein_coding	ENSG00000167701
17	2225797	2240801	TSR1	TSR1, 20S rRNA accumulation, homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:25542]	protein_coding	ENSG00000167721
17	4460222	4464113	GGT6	gamma-glutamyltransferase 6 [Source:HGNC Symbol;Acc:26891]	protein_coding	ENSG00000167741
12	52562780	52585784	KRT80	keratin 80 [Source:HGNC Symbol;Acc:27056]	protein_coding	ENSG00000167767
11	63678693	63684316	RCOR2	REST corepressor 2 [Source:HGNC Symbol;Acc:27455]	protein_coding	ENSG00000167771
19	8428173	8439257	ANGPTL4	angiopoietin-like 4 [Source:HGNC Symbol;Acc:16039]	protein_coding	ENSG00000167772
12	53491220	53496129	IGFBP6	insulin-like growth factor binding protein 6 [Source:HGNC Symbol;Acc:5475]	protein_coding	ENSG00000167779
12	53497302	53518322	SOAT2	sterol O-acyltransferase 2 [Source:HGNC Symbol;Acc:11178]	protein_coding	ENSG00000167780
11	67374323	67380006	NDUFV1	NADH dehydrogenase (ubiquinone) flavoprotein 1, 51kDa [Source:HGNC Symbol;Acc:7716]	protein_coding	ENSG00000167792
11	67273968	67276120	CDK2AP2	cyclin-dependent kinase 2 associated protein 2 [Source:HGNC Symbol;Acc:30833]	protein_coding	ENSG00000167797
11	67395409	67397401	NUDT8	nudix (nucleoside diphosphate linked moiety X)-type motif 8 [Source:HGNC Symbol;Acc:8055]	protein_coding	ENSG00000167799
11	67398774	67407031	TBX10	T-box 10 [Source:HGNC Symbol;Acc:11593]	protein_coding	ENSG00000167800
17	76126851	76139049	TMC8	transmembrane channel-like 8 [Source:HGNC Symbol;Acc:20474]	protein_coding	ENSG00000167895
16	2289396	2302301	ECI1	enoyl-CoA delta isomerase 1 [Source:HGNC Symbol;Acc:2703]	protein_coding	ENSG00000167969
11	64755415	64764517	BATF2	basic leucine zipper transcription factor, ATF-like 2 [Source:HGNC Symbol;Acc:25163]	protein_coding	ENSG00000168062
11	64556290	64570713	MAP4K2	mitogen-activated protein kinase kinase kinase kinase 2 [Source:HGNC Symbol;Acc:6864]	protein_coding	ENSG00000168067
11	64107695	64125006	CCDC88B	coiled-coil domain containing 88B [Source:HGNC Symbol;Acc:26757]	protein_coding	ENSG00000168071
8	28174503	28200872	PNOC	prepronociceptin [Source:HGNC Symbol;Acc:9163]	protein_coding	ENSG00000168081
22	38822332	38851205	KCNJ4	potassium inwardly-rectifying channel, subfamily J, member 4 [Source:HGNC Symbol;Acc:6265]	protein_coding	ENSG00000168135
4	185308867	185395734	IRF2	interferon regulatory factor 2 [Source:HGNC Symbol;Acc:6117]	protein_coding	ENSG00000168310
2	97541620	97684175	FAM178B	family with sequence similarity 178, member B [Source:HGNC Symbol;Acc:28036]	protein_coding	ENSG00000168754
2	97525453	97536494	SEMA4C	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C [Source:HGNC Symbol;Acc:10731]	protein_coding	ENSG00000168758
14	25278862	25519503	STXBP6	syntaxin binding protein 6 (amisyn) [Source:HGNC Symbol;Acc:19666]	protein_coding	ENSG00000168952
4	675618	683230	MFSD7	major facilitator superfamily domain containing 7 [Source:HGNC Symbol;Acc:26177]	protein_coding	ENSG00000169026
9	139889087	139891255	CLIC3	chloride intracellular channel 3 [Source:HGNC Symbol;Acc:2064]	protein_coding	ENSG00000169583
17	79981178	79989027	LRRC45	leucine rich repeat containing 45 [Source:HGNC Symbol;Acc:28302]	protein_coding	ENSG00000169683
17	79976578	79981983	STRA13	stimulated by retinoic acid 13 [Source:HGNC Symbol;Acc:11422]	protein_coding	ENSG00000169689
9	139567595	139581875	AGPAT2	1-acylglycerol-3-phosphate O-acyltransferase 2 [Source:HGNC Symbol;Acc:325]	protein_coding	ENSG00000169692
17	79934683	79975282	ASPSCR1	alveolar soft part sarcoma chromosome region, candidate 1 [Source:HGNC Symbol;Acc:13825]	protein_coding	ENSG00000169696
16	30537244	30546668	ZNF747	zinc finger protein 747 [Source:HGNC Symbol;Acc:28350]	protein_coding	ENSG00000169955
16	30535325	30538142	ZNF768	zinc finger protein 768 [Source:HGNC Symbol;Acc:26273]	protein_coding	ENSG00000169957
5	138732252	138739777	SPATA24	spermatogenesis associated 24 [Source:HGNC Symbol;Acc:27322]	protein_coding	ENSG00000170469
19	14138960	14141854	RLN3	relaxin 3 [Source:HGNC Symbol;Acc:17135]	protein_coding	ENSG00000171136
6	43477440	43497323	POLR1C	polymerase (RNA) I polypeptide C, 30kDa [Source:HGNC Symbol;Acc:20194]	protein_coding	ENSG00000171453
6	43274872	43337216	ZNF318	zinc finger protein 318 [Source:HGNC Symbol;Acc:13578]	protein_coding	ENSG00000171467
20	62681189	62703700	TCEA2	transcription elongation factor A (SII), 2 [Source:HGNC Symbol;Acc:11614]	protein_coding	ENSG00000171703
10	134210672	134231367	PWWP2B	PWWP domain containing 2B [Source:HGNC Symbol;Acc:25150]	protein_coding	ENSG00000171813
3	49158547	49170551	LAMB2	laminin, beta 2 (laminin S) [Source:HGNC Symbol;Acc:6487]	protein_coding	ENSG00000172037
3	49145479	49158371	USP19	ubiquitin specific peptidase 19 [Source:HGNC Symbol;Acc:12617]	protein_coding	ENSG00000172046
3	49133365	49142553	QARS	glutaminyl-tRNA synthetase [Source:HGNC Symbol;Acc:9751]	protein_coding	ENSG00000172053
16	691813	698474	FAM195A	family with sequence similarity 195, member A [Source:HGNC Symbol;Acc:14142]	protein_coding	ENSG00000172366
11	67182439	67193078	CARNS1	carnosine synthase 1 [Source:HGNC Symbol;Acc:29268]	protein_coding	ENSG00000172508
11	67165654	67188654	PPP1CA	protein phosphatase 1, catalytic subunit, alpha isozyme [Source:HGNC Symbol;Acc:9281]	protein_coding	ENSG00000172531
11	67159176	67165881	RAD9A	RAD9 homolog A (S. pombe) [Source:HGNC Symbol;Acc:9827]	protein_coding	ENSG00000172613
11	65633912	65641063	EFEMP2	EGF containing fibulin-like extracellular matrix protein 2 [Source:HGNC Symbol;Acc:3219]	protein_coding	ENSG00000172638
17	72873428	72889708	FADS6	fatty acid desaturase 6 [Source:HGNC Symbol;Acc:30459]	protein_coding	ENSG00000172782
16	66968347	66978999	CES2	carboxylesterase 2 [Source:HGNC Symbol;Acc:1864]	protein_coding	ENSG00000172831
9	139553308	139567130	EGFL7	EGF-like-domain, multiple 7 [Source:HGNC Symbol;Acc:20594]	protein_coding	ENSG00000172889
11	69061605	69182494	MYEOV	myeloma overexpressed [Source:HGNC Symbol;Acc:7563]	protein_coding	ENSG00000172927
11	64083932	64085556	TRMT112	tRNA methyltransferase 11-2 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:26940]	protein_coding	ENSG00000173113
11	64073044	64084215	ESRRA	estrogen-related receptor alpha [Source:HGNC Symbol;Acc:3471]	protein_coding	ENSG00000173153
10	88718375	88723017	SNCG	synuclein, gamma (breast cancer-specific protein 1) [Source:HGNC Symbol;Acc:11141]	protein_coding	ENSG00000173267
10	88695297	88729238	MMRN2	multimerin 2 [Source:HGNC Symbol;Acc:19888]	protein_coding	ENSG00000173269
2	132222473	132250316	MZT2A	mitotic spindle organizing protein 2A [Source:HGNC Symbol;Acc:33187]	protein_coding	ENSG00000173272
11	64008475	64011604	FKBP2	FK506 binding protein 2, 13kDa [Source:HGNC Symbol;Acc:3718]	protein_coding	ENSG00000173486
19	56152428	56164527	CCDC106	coiled-coil domain containing 106 [Source:HGNC Symbol;Acc:30181]	protein_coding	ENSG00000173581
1	16340523	16346089	HSPB7	heat shock 27kDa protein family, member 7 (cardiovascular) [Source:HGNC Symbol;Acc:5249]	protein_coding	ENSG00000173641
17	77751931	77761782	CBX2	chromobox homolog 2 [Source:HGNC Symbol;Acc:1552]	protein_coding	ENSG00000173894
17	37820440	37822808	TCAP	titin-cap [Source:HGNC Symbol;Acc:11610]	protein_coding	ENSG00000173991
16	1469745	1479345	C16orf91	chromosome 16 open reading frame 91 [Source:HGNC Symbol;Acc:27558]	protein_coding	ENSG00000174109
8	107771711	107782473	ABRA	actin-binding Rho activating protein [Source:HGNC Symbol;Acc:30655]	protein_coding	ENSG00000174429
16	19727778	19868907	IQCK	IQ motif containing K [Source:HGNC Symbol;Acc:28556]	protein_coding	ENSG00000174628
11	448268	491393	PTDSS2	phosphatidylserine synthase 2 [Source:HGNC Symbol;Acc:15463]	protein_coding	ENSG00000174915
2	220283099	220291461	DES	desmin [Source:HGNC Symbol;Acc:2770]	protein_coding	ENSG00000175084
11	45670427	45687172	CHST1	carbohydrate (keratan sulfate Gal-6) sulfotransferase 1 [Source:HGNC Symbol;Acc:1969]	protein_coding	ENSG00000175264
11	72929343	72947397	P2RY2	purinergic receptor P2Y, G-protein coupled, 2 [Source:HGNC Symbol;Acc:8541]	protein_coding	ENSG00000175591
1	1309110	1310875	AURKAIP1	aurora kinase A interacting protein 1 [Source:HGNC Symbol;Acc:24114]	protein_coding	ENSG00000175756
3	127783621	127872757	RUVBL1	RuvB-like AAA ATPase 1 [Source:HGNC Symbol;Acc:10474]	protein_coding	ENSG00000175792
17	79008948	79091232	BAIAP2	BAI1-associated protein 2 [Source:HGNC Symbol;Acc:947]	protein_coding	ENSG00000175866
17	74385532	74449288	UBE2O	ubiquitin-conjugating enzyme E2O [Source:HGNC Symbol;Acc:29554]	protein_coding	ENSG00000175931
9	140083099	140084822	SSNA1	Sjogren syndrome nuclear autoantigen 1 [Source:HGNC Symbol;Acc:11321]	protein_coding	ENSG00000176101
17	80059336	80170706	CCDC57	coiled-coil domain containing 57 [Source:HGNC Symbol;Acc:27564]	protein_coding	ENSG00000176155
9	140069236	140082989	ANAPC2	anaphase promoting complex subunit 2 [Source:HGNC Symbol;Acc:19989]	protein_coding	ENSG00000176248
19	2714565	2721416	DIRAS1	DIRAS family, GTP-binding RAS-like 1 [Source:HGNC Symbol;Acc:19127]	protein_coding	ENSG00000176490
9	139839698	139841426	C8G	complement component 8, gamma polypeptide [Source:HGNC Symbol;Acc:1354]	protein_coding	ENSG00000176919
17	73496342	73511664	CASKIN2	CASK interacting protein 2 [Source:HGNC Symbol;Acc:18200]	protein_coding	ENSG00000177303
3	49199968	49203754	CCDC71	coiled-coil domain containing 71 [Source:HGNC Symbol;Acc:25760]	protein_coding	ENSG00000177352
11	799179	809753	PIDD	p53-induced death domain protein [Source:HGNC Symbol;Acc:16491]	protein_coding	ENSG00000177595
11	818902	825573	PNPLA2	patatin-like phospholipase domain containing 2 [Source:HGNC Symbol;Acc:30802]	protein_coding	ENSG00000177666
3	46710487	46735194	ALS2CL	ALS2 C-terminal like [Source:HGNC Symbol;Acc:20605]	protein_coding	ENSG00000178038
8	144989321	145050902	PLEC	plectin [Source:HGNC Symbol;Acc:9069]	protein_coding	ENSG00000178209
17	76866992	76899299	DDC8	Protein DDC8 homolog  [Source:UniProtKB/Swiss-Prot;Acc:Q96MC4]	protein_coding	ENSG00000178404
12	57998405	58003587	DTX3	deltex homolog 3 (Drosophila) [Source:HGNC Symbol;Acc:24457]	protein_coding	ENSG00000178498
3	48894369	48936426	SLC25A20	solute carrier family 25 (carnitine/acylcarnitine translocase), member 20 [Source:HGNC Symbol;Acc:1421]	protein_coding	ENSG00000178537
1	9908334	9970394	CTNNBIP1	catenin, beta interacting protein 1 [Source:HGNC Symbol;Acc:16913]	protein_coding	ENSG00000178585
8	145051321	145086940	PARP10	poly (ADP-ribose) polymerase family, member 10 [Source:HGNC Symbol;Acc:25895]	protein_coding	ENSG00000178685
8	145106167	145118735	OPLAH	5-oxoprolinase (ATP-hydrolysing) [Source:HGNC Symbol;Acc:8149]	protein_coding	ENSG00000178814
7	142977050	142985141	TMEM139	transmembrane protein 139 [Source:HGNC Symbol;Acc:22058]	protein_coding	ENSG00000178826
17	8130191	8151362	CTC1	CTS telomere maintenance complex component 1 [Source:HGNC Symbol;Acc:26169]	protein_coding	ENSG00000178971
19	39109735	39127595	EIF3K	eukaryotic translation initiation factor 3, subunit K [Source:HGNC Symbol;Acc:24656]	protein_coding	ENSG00000178982
11	6518490	6614988	DNHD1	dynein heavy chain domain 1 [Source:HGNC Symbol;Acc:26532]	protein_coding	ENSG00000179532
3	50316458	50325545	LSMEM2	leucine-rich single-pass membrane protein 2 [Source:HGNC Symbol;Acc:26781]	protein_coding	ENSG00000179564
16	1876968	1890208	FAHD1	fumarylacetoacetate hydrolase domain containing 1 [Source:HGNC Symbol;Acc:14169]	protein_coding	ENSG00000180185
16	30382255	30389312	MYLPF	myosin light chain, phosphorylatable, fast skeletal muscle [Source:HGNC Symbol;Acc:29824]	protein_coding	ENSG00000180209
10	695888	711109	PRR26	proline rich 26 [Source:HGNC Symbol;Acc:30724]	protein_coding	ENSG00000180525
11	4664650	4676718	OR51E1	olfactory receptor, family 51, subfamily E, member 1 [Source:HGNC Symbol;Acc:15194]	protein_coding	ENSG00000180785
17	43209967	43221548	ACBD4	acyl-CoA binding domain containing 4 [Source:HGNC Symbol;Acc:23337]	protein_coding	ENSG00000181513
6	43968317	43973695	C6orf223	chromosome 6 open reading frame 223 [Source:HGNC Symbol;Acc:28692]	protein_coding	ENSG00000181577
3	46742823	46752376	TMIE	transmembrane inner ear [Source:HGNC Symbol;Acc:30800]	protein_coding	ENSG00000181585
19	37803739	37860267	HKR1	HKR1, GLI-Kruppel zinc finger family member [Source:HGNC Symbol;Acc:4928]	protein_coding	ENSG00000181666
2	237102095	237173052	ASB18	ankyrin repeat and SOCS box containing 18 [Source:HGNC Symbol;Acc:19770]	protein_coding	ENSG00000182177
3	49842640	49851379	UBA7	ubiquitin-like modifier activating enzyme 7 [Source:HGNC Symbol;Acc:12471]	protein_coding	ENSG00000182179
19	49244109	49250166	IZUMO1	izumo sperm-egg fusion 1 [Source:HGNC Symbol;Acc:28539]	protein_coding	ENSG00000182264
17	79791368	79792926	PPP1R27	protein phosphatase 1, regulatory subunit 27 [Source:HGNC Symbol;Acc:16813]	protein_coding	ENSG00000182676
14	105939299	105946499	CRIP2	cysteine-rich protein 2 [Source:HGNC Symbol;Acc:2361]	protein_coding	ENSG00000182809
8	144295068	144299044	GPIHBP1	glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1 [Source:HGNC Symbol;Acc:24945]	protein_coding	ENSG00000182851
14	105886159	105937066	MTA1	metastasis associated 1 [Source:HGNC Symbol;Acc:7410]	protein_coding	ENSG00000182979
