Supplementary Table 3C: Genes annotation of hypoacetylated H3K27ac ChIPseq regions between PLN and control group using a 5kb TSS window.									
Peak ID*	Chromosome	Peak start†	Peak end†	Gene name	RefSeq transcript ID	Distance to TSS	Distance to TES		
13813	chr6	140295180	140297829	LOC100507477	NR_121622	-951	-118353		
13813	chr6	140295180	140297829	LOC100507477	NR_121623	-951	-118353		
32553	chr19	15216650	15220329	SYDE1	NM_001300910	315	-7309		
32553	chr19	15216650	15220329	SYDE1	NM_033025	315	-7309		
16325	chr8	28198280	28200299	PNOC	NM_001284244	3125	-1581		
17405	chr8	146015880	146019829	RPL8	NM_033301	-126	-2701		
17405	chr8	146015880	146019829	RPL8	NM_000973	-50	-2701		
17405	chr8	146015880	146019829	MIR6850	NR_106909	-479	-539		
8242	chr3	142313680	142316179	PLS1	NM_001145319	-299	-117575		
6115	chr2	220487900	220503449	SLC4A3	NM_201574	3383	-11027		
6115	chr2	220487900	220503449	SLC4A3	NM_005070	3383	-11027		
6115	chr2	220487900	220503449	SLC4A3	NR_048551	3383	-11027		
31199	chr17	79881300	79885699	MAFG	NM_032711	-2056	-7355		
31199	chr17	79881300	79885699	MAFG	NM_002359	2087	-7355		
31199	chr17	79881300	79885699	MAFG-AS1	NR_015454	-2205	-5129		
25370	chr13	111157000	111163849	COL4A2-AS1	NR_046583	101	-5502		
8942	chr4	2787230	2795149	SH3BP2	NM_001122681	-3560	-51633		
10278	chr5	192450	196749	LRRC14B	NM_001080478	2974	-868		
32933	chr19	39132800	39136779	ACTN4	NM_004924	-3477	-86381		
14285	chr7	854830	858799	SUN1	NM_001171946	1621	-26694		
14285	chr7	854830	858799	SUN1	NM_001171945	563	-26694		
14285	chr7	854830	858799	SUN1	NM_001171944	563	-57742		
14285	chr7	854830	858799	SUN1	NM_025154	563	-57742		
7109	chr3	46901750	46917629	MYL3	NM_000258	-4717	-10333		
6084	chr2	220081700	220083849	ABCB6	NM_005689	937	-8287		
24461	chr12	123559250	123575149	LOC100507091	NR_038290	1269	-2091		
18945	chr9	139883230	139889449	C9orf142	NM_183241	-530	-2088		
18945	chr9	139883230	139889449	CLIC3	NM_004669	4684	2720		
28548	chr16	30381630	30385179	TBC1D10B	NM_015527	-1883	-14983		
28548	chr16	30381630	30385179	MYLPF	NM_013292	-2718	-5905		
21882	chr11	67181830	67188699	CARNS1	NM_001166222	2116	-7813		
21882	chr11	67181830	67188699	CARNS1	NM_020811	2116	-7813		
21935	chr11	68669900	68673799	MRPL21	NM_181515	-547	-13104		
21935	chr11	68669900	68673799	MRPL21	NM_181514	-547	-13104		
21935	chr11	68669900	68673799	IGHMBP2	NM_002180	531	-36219		
7161	chr3	48538100	48542099	SHISA5	NM_001272068	1383	-30903		
7161	chr3	48538100	48542099	SHISA5	NM_001272065	1582	-30903		
7161	chr3	48538100	48542099	SHISA5	NM_016479	1582	-30903		
7161	chr3	48538100	48542099	SHISA5	NM_001272067	2147	-30903		
7161	chr3	48538100	48542099	SHISA5	NM_001272066	2159	-30903		
29382	chr17	976050	980499	ABR	NM_001282149	4111	-71517		
17651	chr9	33400630	33403099	AQP7	NM_001170	652	-16917		
32907	chr19	37824430	37826979	HKR1	NM_181786	125	-29652		
17720	chr9	35810700	35815449	SPAG8	NM_172312	-816	-5293		
17720	chr9	35810700	35815449	SPAG8	NM_001039592	-816	-3268		
17720	chr9	35810700	35815449	HINT2	NM_032593	1967	-118		
6307	chr2	238393950	238399729	MLPH	NM_001281474	1787	-67121		
6307	chr2	238393950	238399729	MLPH	NM_024101	978	-67121		
6307	chr2	238393950	238399729	MLPH	NM_001042467	978	-67121		
6307	chr2	238393950	238399729	MLPH	NM_001281473	978	-67121		
6307	chr2	238393950	238399729	MLPH	NR_104019	978	-67121		
18941	chr9	139832150	139847999	FBXW5	NM_018998	-869	-5190		
18941	chr9	139832150	139847999	C8G	NM_000606	377	-1351		
35073	chr22	20019100	20021679	MIR185	NR_029706	-272	-353		
35073	chr22	20019100	20021679	TANGO2	NR_104275	-3893	-33059		
6096	chr2	220279700	220288849	DES	NM_001927	1176	-7186		
29460	chr17	2238380	2242929	TSR1	NM_018128	23	-14673		
29460	chr17	2238380	2242929	SGSM2	NM_014853	-151	-43693		
29460	chr17	2238380	2242929	SGSM2	NM_001098509	-153	-43693		
30	chr1	1361650	1363849	TMEM88B	NM_001146685	1242	-417		
18736	chr9	134153400	134155549	FAM78A	NM_033387	-2569	-21010		
28558	chr16	30536350	30540449	ZNF768	NM_024671	-490	-3078		
26675	chr14	105936030	105952849	CRIP2	NM_001312	3328	-2067		
26675	chr14	105936030	105952849	CRIP2	NM_001270841	3328	-2067		
26675	chr14	105936030	105952849	CRIP2	NR_073083	3328	-2067		
26675	chr14	105936030	105952849	CRIP2	NR_073081	3328	-2067		
26675	chr14	105936030	105952849	CRIP2	NR_073084	2244	-2067		
26675	chr14	105936030	105952849	CRIP2	NR_073085	857	-2067		
32077	chr19	2013430	2017449	BTBD2	NM_017797	262	-29993		
31881	chr18	59418880	59420879	LINC01544	NR_103449	4471	-2048		
35308	chr22	29700700	29709399	GAS2L1	NM_152236	2065	-3728		
35308	chr22	29700700	29709399	GAS2L1	NM_001278730	2065	-3728		
35308	chr22	29700700	29709399	GAS2L1	NM_006478	2065	-3728		
24462	chr12	123575300	123606029	PITPNM2	NM_020845	4310	-122638		
24462	chr12	123575300	123606029	PITPNM2	NM_001300801	4371	-122638		
28038	chr16	574980	577699	LINC00235	NR_024121	1067	507		
28038	chr16	574980	577699	CAPN15	NM_005632	-1516	-28296		
29968	chr17	27945730	27951749	CORO6	NM_032854	-299	-6966		
4772	chr2	71693380	71698379	DYSF	NM_001130982	2048	-218013		
4772	chr2	71693380	71698379	DYSF	NM_001130986	2048	-218013		
4772	chr2	71693380	71698379	DYSF	NM_001130984	2048	-218013		
4772	chr2	71693380	71698379	DYSF	NM_001130987	2048	-218013		
4772	chr2	71693380	71698379	DYSF	NM_001130983	2048	-218013		
4772	chr2	71693380	71698379	DYSF	NM_001130985	2048	-218013		
4772	chr2	71693380	71698379	DYSF	NM_001130455	2048	-218013		
22778	chr11	130740680	130743829	LOC103611081	NR_125382	-2113	-6111		
20891	chr11	1940500	1949349	TNNT3	NM_001042780	4126	-15011		
20891	chr11	1940500	1949349	TNNT3	NM_001042782	4126	-15011		
20891	chr11	1940500	1949349	TNNT3	NM_001042781	4126	-15011		
20891	chr11	1940500	1949349	TNNT3	NM_001297646	4126	-15011		
20891	chr11	1940500	1949349	TNNT3	NM_006757	4126	-15011		
35080	chr22	20191650	20194949	LOC284865	NR_038460	-859	-7047		
35080	chr22	20191650	20194949	LINC00896	NR_026919	-555	-2760		
4011	chr2	26463700	26470749	HADHA	NM_000182	369	-53721		
4011	chr2	26463700	26470749	HADHB	NM_000183	-391	-46108		
4011	chr2	26463700	26470749	HADHB	NM_001281512	-391	-46108		
4011	chr2	26463700	26470749	HADHB	NM_001281513	-391	-46108		
400	chr1	16061050	16063329	SLC25A34	NM_207348	-619	-5697		
35212	chr22	25759850	25762399	LRP5L	NM_182492	-2601	-13740		
28101	chr16	2299730	2303279	ECI1	NM_001178029	97	-11632		
28101	chr16	2299730	2303279	ECI1	NM_001919	97	-11632		
13071	chr6	42987230	42990699	RRP36	NM_033112	-420	-8372		
7323	chr3	52525050	52530899	STAB1	NM_015136	-1381	-30536		
18921	chr9	139578950	139581679	AGPAT2	NM_001012727	1596	-12720		
18921	chr9	139578950	139581679	AGPAT2	NM_006412	1596	-12720		
3366	chr1	226492350	226498679	LIN9	NM_173083	1689	-76665		
3366	chr1	226492350	226498679	LIN9	NM_001270409	1689	-76665		
3366	chr1	226492350	226498679	LIN9	NM_001270410	1934	-76665		
29409	chr17	1384900	1400779	MYO1C	NM_001080950	-3789	-25360		
29409	chr17	1384900	1400779	MYO1C	NM_033375	2132	-25360		
29409	chr17	1384900	1400779	MYO1C	NM_001080779	3161	-25360		
14764	chr7	44176550	44180699	MYL7	NM_021223	2291	-162		
6398	chr2	241836580	241839499	C2orf54	NM_001085437	-2467	-12575		
3011	chr1	204010500	204015049	LINC00303	NR_027902	-2383	-11200		
11	chr1	937850	941599	HES4	NM_021170	-4173	-5383		
11	chr1	937850	941599	HES4	NM_001142467	-4173	-5381		
244	chr1	9647400	9657229	TMEM201	NM_001010866	3383	-12705		
244	chr1	9647400	9657229	TMEM201	NM_001130924	3383	-22620		
33927	chr20	30597300	30599829	MIR7641-2	NR_106988	2375	2326		
33927	chr20	30597300	30599829	CCM2L	NM_080625	320	-21419		
18997	chr10	698880	702479	PRR26	NR_027151	4792	2085		
18997	chr10	698880	702479	PRR26	NR_027152	4663	-10429		
20982	chr11	6517630	6520149	DNHD1	NM_173589	364	-23207		
20982	chr11	6517630	6520149	DNHD1	NM_144666	364	-74364		
26627	chr14	105192780	105194929	ADSSL1	NM_152328	3321	-19792		
26627	chr14	105192780	105194929	ADSSL1	NM_199165	-2373	-19792		
29158	chr16	84536800	84540049	TLDC1	NM_020947	-137	-28459		
32138	chr19	3027000	3031149	TLE2	NM_003260	90	-31439		
32138	chr19	3027000	3031149	TLE2	NM_001300846	124	-31439		
32138	chr19	3027000	3031149	TLE2	NM_001144762	537	-31439		
7913	chr3	123410600	123414179	MYLK-AS2	NR_046629	3899	1136		
30490	chr17	48449130	48451499	MRPL27	NM_016504	247	-5087		
30490	chr17	48449130	48451499	EME1	NM_001166131	-266	-8505		
30490	chr17	48449130	48451499	EME1	NM_152463	-266	-8505		
32328	chr19	8405250	8409529	KANK3	NM_198471	756	-19922		
18918	chr9	139549230	139560549	EGFL7	NR_046367	1582	-12240		
18918	chr9	139549230	139560549	EGFL7	NM_016215	-2489	-12240		
18918	chr9	139549230	139560549	EGFL7	NR_045111	-2489	-12240		
18918	chr9	139549230	139560549	EGFL7	NR_045110	-2489	-12240		
13119	chr6	43967850	43979399	LOC101929705	NR_125865	-2238	-10164		
17352	chr8	144640180	144642199	GSDMD	NM_024736	713	-4041		
34555	chr20	62598150	62605699	ZNF512B	NM_020713	-702	-13868		
31102	chr17	76917250	76924629	TIMP2	NM_003255	532	-71881		
7409	chr3	58221830	58225429	ABHD6	NM_020676	371	-56831		
18952	chr9	140081500	140084979	ANAPC2	NM_013366	-183	-14004		
18952	chr9	140081500	140084979	SSNA1	NM_003731	186	-1582		
28086	chr16	2020650	2023879	TBL3	NM_006453	201	-6486		
32151	chr19	3357000	3359979	NFIC	NM_001245005	-1071	-110725		
32151	chr19	3357000	3359979	NFIC	NM_205843	-1071	-110725		
21813	chr11	65403430	65410199	MIR4690	NR_039839	3034	2975		
21813	chr11	65403430	65410199	SIPA1	NM_006747	1237	-11576		
21813	chr11	65403430	65410199	SIPA1	NM_153253	-777	-11576		
35897	chr22	50346600	50353799	PIM3	NM_001001852	-3943	-7520		
21651	chr11	61641550	61644149	MIR6746	NR_106804	2900	2838		
30141	chr17	37884730	37887429	MIR4728	NR_039881	3332	3266		
30141	chr17	37884730	37887429	MIEN1	NM_032339	708	-671		
23687	chr12	57604630	57608729	NXPH4	NM_007224	-3898	-13552		
28577	chr16	30795330	30800349	ZNF629	NM_001080417	683	-8070		
31320	chr18	7232780	7235749	LRRC30	NM_001105581	3128	2223		
20968	chr11	4663080	4669349	OR51E1	NM_152430	1059	-10501		
18963	chr9	140167930	140173429	TOR4A	NM_017723	-1600	-6413		
23552	chr12	52583730	52590249	KRT80	NM_182507	-1206	-24210		
23552	chr12	52583730	52590249	KRT80	NM_001081492	-1206	-24210		
28864	chr16	66965730	66971329	FAM96B	NM_016062	-204	-2572		
28864	chr16	66965730	66971329	FAM96B	NR_024525	-204	-2572		
28864	chr16	66965730	66971329	FAM96B	NR_046109	-204	-2572		
28864	chr16	66965730	66971329	CES2	NM_198061	183	-10464		
28864	chr16	66965730	66971329	CES2	NM_003869	183	-10464		
28864	chr16	66965730	66971329	CES2	NR_036684	156	-10464		
31148	chr17	79012250	79014249	BAIAP2-AS1	NR_026857	-4731	-10317		
31148	chr17	79012250	79014249	BAIAP2	NM_017450	4303	-71062		
31148	chr17	79012250	79014249	BAIAP2	NM_006340	4303	-77982		
31148	chr17	79012250	79014249	BAIAP2	NM_001144888	4303	-77982		
31148	chr17	79012250	79014249	BAIAP2	NM_017451	4303	-77982		
54	chr1	2123680	2131879	FAAP20	NM_001282672	-1566	-11881		
54	chr1	2123680	2131879	FAAP20	NM_001282671	-1566	-11881		
54	chr1	2123680	2131879	FAAP20	NM_001256945	-1566	-11881		
54	chr1	2123680	2131879	FAAP20	NM_001282673	-1566	-11881		
54	chr1	2123680	2131879	FAAP20	NM_182533	-1566	-6792		
54	chr1	2123680	2131879	FAAP20	NM_001256947	-1566	-6792		
54	chr1	2123680	2131879	FAAP20	NR_046427	-1566	-6792		
54	chr1	2123680	2131879	FAAP20	NM_001256946	-1566	-4446		
22040	chr11	72926850	72931279	P2RY2	NM_176072	-278	-24407		
22040	chr11	72926850	72931279	P2RY2	NM_002564	-278	-24407		
22040	chr11	72926850	72931279	P2RY2	NM_176071	-437	-24407		
816	chr1	29448600	29453049	TMEM200B	NM_001171868	-1812	-4888		
816	chr1	29448600	29453049	TMEM200B	NM_001003682	-404	-4888		
23279	chr12	27931400	27934829	KLHL42	NM_020782	-72	-22858		
18886	chr9	139217600	139224349	DKFZP434A062	NR_026964	804	-3977		
18886	chr9	139217600	139224349	GPSM1	NM_015597	-957	-15313		
18886	chr9	139217600	139224349	GPSM1	NM_001145638	-957	-33082		
15095	chr7	76020330	76025699	ZP3	NM_007155	-3826	-48373		
31206	chr17	79978800	79981299	STRA13	NM_001271007	735	-3471		
31206	chr17	79978800	79981299	STRA13	NM_001271006	735	-3471		
31206	chr17	79978800	79981299	STRA13	NM_144998	735	-3471		
31206	chr17	79978800	79981299	LRRC45	NM_144999	-1128	-8977		
32661	chr19	17666050	17668899	COLGALT1	NM_024656	964	-26490		
6421	chr2	242798300	242803129	PDCD1	NM_005018	343	-8682		
34879	chr21	45342180	45350899	AGPAT3	NM_001037553	1261	-60935		
30230	chr17	40705030	40708349	HSD17B1	NM_000413	2706	-542		
26643	chr14	105530000	105532449	GPR132	NM_001278696	662	-15499		
26643	chr14	105530000	105532449	GPR132	NM_001278694	662	-15499		
26643	chr14	105530000	105532449	GPR132	NM_013345	662	-15499		
26643	chr14	105530000	105532449	GPR132	NM_001278695	662	-15499		
34548	chr20	62487700	62491949	ABHD16B	NM_080622	-2741	-4516		
30371	chr17	43500750	43505049	ARHGAP27	NM_199282	112	-31632		
30371	chr17	43500750	43505049	ARHGAP27	NM_001282290	4763	-31632		
31189	chr17	79676980	79679049	SLC25A10	NM_012140	-1251	-10031		
31189	chr17	79676980	79679049	SLC25A10	NM_001270888	-1251	-10031		
31189	chr17	79676980	79679049	SLC25A10	NM_001270953	-1251	-10031		
2230	chr1	151339980	151346099	SELENBP1	NM_001258289	2170	-6262		
2230	chr1	151339980	151346099	SELENBP1	NM_001258288	2170	-6262		
2230	chr1	151339980	151346099	SELENBP1	NM_003944	2170	-6262		
7197	chr3	49207300	49215029	KLHDC8B	NM_173546	2147	-2754		
7193	chr3	49156450	49159799	USP19	NM_001199162	246	-12646		
7193	chr3	49156450	49159799	USP19	NM_001199161	246	-12646		
7193	chr3	49156450	49159799	USP19	NM_001199160	246	-12019		
7193	chr3	49156450	49159799	USP19	NM_006677	246	-12019		
12741	chr6	31742700	31745649	VWA7	NM_025258	933	-10804		
299	chr1	10854430	10856949	CASZ1	NM_001079843	1043	-159024		
299	chr1	10854430	10856949	CASZ1	NM_017766	1043	-148427		
32523	chr19	14141200	14144229	RLN3	NM_080864	3698	932		
32523	chr19	14141200	14144229	IL27RA	NM_004843	163	-21002		
18587	chr9	130563450	130566979	FPGS	NM_004957	78	-11145		
18587	chr9	130563450	130566979	FPGS	NM_001288803	78	-11145		
18587	chr9	130563450	130566979	FPGS	NR_110170	78	-11145		
18587	chr9	130563450	130566979	FPGS	NM_001018078	-245	-11145		
21549	chr11	57001650	57003999	APLNR	NM_005161	2102	-1773		
21549	chr11	57001650	57003999	APLNR	NR_027991	2102	-1773		
15834	chr7	150884380	150886499	ASB10	NM_001142459	-962	-12655		
15834	chr7	150884380	150886499	ASB10	NM_001142460	-962	-12655		
15834	chr7	150884380	150886499	ASB10	NM_080871	-521	-12655		
35364	chr22	31513550	31520899	INPP5J	NM_001002837	-1684	-13458		
35364	chr22	31513550	31520899	INPP5J	NM_001284285	-1684	-13458		
35364	chr22	31513550	31520899	INPP5J	NM_001284286	-1684	-13458		
35364	chr22	31513550	31520899	INPP5J	NM_001284289	-1684	-13458		
35364	chr22	31513550	31520899	INPP5J	NM_001284288	-1684	-13458		
35364	chr22	31513550	31520899	INPP5J	NM_001284287	-1684	-13458		
35594	chr22	38844330	38850849	KCNJ4	NM_152868	3615	-25257		
1860	chr1	100713980	100716899	DBT	NM_001918	-31	-62962		
33292	chr19	49312350	49317799	BCAT2	NM_001284325	-755	-16756		
33292	chr19	49312350	49317799	BCAT2	NM_001190	-755	-16756		
33292	chr19	49312350	49317799	BCAT2	NM_001164773	-755	-16756		
20894	chr11	1965980	1972229	MRPL23	NM_021134	603	-8734		
29470	chr17	2609200	2611349	CLUH	NM_015229	4652	-17595		
33106	chr19	45310400	45315649	BCAM	NM_001013257	709	-11653		
33106	chr19	45310400	45315649	BCAM	NM_005581	709	-11653		
18796	chr9	135987050	135999829	RALGDS	NM_006266	3197	-20333		
18796	chr9	135987050	135999829	RALGDS	NM_001271776	3197	-20333		
31098	chr17	76898000	76900049	CEP295NL	NM_001243541	274	-12363		
31098	chr17	76898000	76900049	CEP295NL	NM_001243540	274	-12363		
28099	chr16	2262050	2266549	BRICD5	NM_182563	-3231	-5046		
28099	chr16	2262050	2266549	PGP	NM_001042371	522	-2697		
29376	chr17	921580	927029	MIR3183	NR_036148	1494	1411		
26844	chr15	41247600	41251249	CHAC1	NM_001142776	3789	708		
26844	chr15	41247600	41251249	CHAC1	NM_024111	3789	708		
17372	chr8	145041550	145051029	PLEC	NM_201378	1407	-56975		
17372	chr8	145041550	145051029	PLEC	NM_000445	4623	-56975		
28619	chr16	46776200	46786679	MYLK3	NM_182493	781	-45246		
32124	chr19	2718250	2720349	DIRAS1	NM_145173	2090	-4735		
30470	chr17	48171180	48176399	PDK2	NM_001199898	1689	-14943		
30470	chr17	48171180	48176399	PDK2	NM_001199900	1151	-9945		
30470	chr17	48171180	48176399	PDK2	NM_002611	1151	-14943		
30470	chr17	48171180	48176399	PDK2	NM_001199899	731	-14943		
253	chr1	9960150	9973749	CTNNBIP1	NM_001012329	3366	-58616		
253	chr1	9960150	9973749	CTNNBIP1	NM_020248	3366	-58616		
18738	chr9	134161100	134177199	PLPP7	NM_032728	4069	-15499		
26622	chr14	105153800	105158049	INF2	NM_032714	-18	-15220		
26622	chr14	105153800	105158049	INF2	NM_022489	-18	-30022		
26622	chr14	105153800	105158049	INF2	NM_001031714	-18	-30022		
33343	chr19	50311200	50314199	FUZ	NM_001171937	3867	-2576		
33343	chr19	50311200	50314199	FUZ	NM_025129	3867	-2576		
33343	chr19	50311200	50314199	FUZ	NR_033269	3867	-2576		
28017	chr16	118550	130449	RHBDF1	NM_022450	-1871	-16442		
28017	chr16	118550	130449	MPG	NM_001015054	-2518	-11350		
28017	chr16	118550	130449	MPG	NM_001015052	-3669	-11350		
28017	chr16	118550	130449	MPG	NM_002434	-3669	-11350		
12941	chr6	36833600	36839979	C6orf89	NM_001286636	-2856	-59950		
22008	chr11	72428900	72435899	ARAP1	NM_001135190	1003	-36286		
22008	chr11	72428900	72435899	ARAP1	NM_015242	1003	-36286		
12814	chr6	33552330	33560199	GGNBP1	NR_028361	4789	-538		
12814	chr6	33552330	33560199	LINC00336	NR_027908	4850	-2382		
20855	chr11	803650	807549	PIDD1	NM_145887	-350	-6421		
20855	chr11	803650	807549	PIDD1	NM_145886	-350	-6421		
20855	chr11	803650	807549	RPLP2	NM_001004	-4336	-7276		
33133	chr19	45925350	45928979	ERCC1	NM_001166049	12	-16574		
33133	chr19	45925350	45928979	ERCC1	NM_001983	12	-16574		
33133	chr19	45925350	45928979	ERCC1	NM_202001	-345	-10473		
12832	chr6	33712580	33716449	IP6K3	NM_054111	247	-25072		
12832	chr6	33712580	33716449	IP6K3	NM_001142883	247	-25072		
1160	chr1	44410650	44415499	IPO13	NM_014652	597	-20619		
28894	chr16	67557730	67568399	LOC100505942	NR_104656	-417	-11456		
28894	chr16	67557730	67568399	FAM65A	NM_024519	348	-17626		
28894	chr16	67557730	67568399	FAM65A	NM_001193522	345	-17626		
28894	chr16	67557730	67568399	FAM65A	NM_001193523	-475	-17626		
32646	chr19	17412600	17418449	ABHD8	NM_024527	-1243	-12585		
32646	chr19	17412600	17418449	MRPL34	NM_023937	-952	-2127		
32646	chr19	17412600	17418449	DDA1	NM_024050	-4812	-18581		
3053	chr1	205471350	205477149	CDK18	NM_002596	566	-27671		
3053	chr1	205471350	205477149	CDK18	NM_212503	566	-27671		
3053	chr1	205471350	205477149	CDK18	NM_212502	566	-27671		
14639	chr7	30944450	30966699	AQP1	NM_198098	4160	-9556		
30347	chr17	43203380	43211299	PLCD3	NM_133373	2560	-18332		
30347	chr17	43203380	43211299	ACBD4	NM_001135704	-2627	-14203		
8603	chr3	183732100	183737229	ABCC5	NM_005688	1062	-96941		
8603	chr3	183732100	183737229	ABCC5	NM_001023587	1062	-33124		
30288	chr17	41907450	41912249	MPP3	NM_001932	697	-31683		
30288	chr17	41907450	41912249	MPP3	NR_003562	697	-31683		
18930	chr9	139685050	139687199	TMEM141	NM_032928	348	-1644		
18930	chr9	139685050	139687199	CCDC183	NM_001039374	-4665	-16068		
11268	chr5	133844100	133848449	LOC101927934	NR_105045	4032	1354		
26580	chr14	103992800	103997049	TRMT61A	NM_152307	-584	-8485		
18510	chr9	129087400	129091479	MVB12B	NM_001011703	317	-70472		
18510	chr9	129087400	129091479	MVB12B	NM_033446	317	-179880		
17386	chr8	145542450	145545779	MIR6848	NR_106907	-3137	-3206		
6493	chr3	9884280	9887099	RPUSD3	NM_001142547	12	-6157		
6493	chr3	9884280	9887099	RPUSD3	NM_173659	12	-6157		
33332	chr19	50091980	50096699	PRR12	NM_020719	-572	-35356		
8028	chr3	127871100	127876849	EEFSEC	NM_021937	1675	-253514		
8903	chr4	1242630	1244849	CTBP1	NM_001012614	-832	-38512		
8903	chr4	1242630	1244849	CTBP1	NM_001328	-832	-38512		
8903	chr4	1242630	1244849	CTBP1-AS2	NR_033339	512	-3055		
23886	chr12	90103100	90105279	LINC00936	NR_028138	1458	-1539		
6064	chr2	219268450	219272979	MIR26B	NR_029500	3346	3270		
30927	chr17	73503400	73511679	CASKIN2	NM_001142643	-1571	-11199		
30927	chr17	73503400	73511679	CASKIN2	NM_020753	4124	-11199		
17396	chr8	145725930	145730229	GPT	NM_005309	-1385	-4475		
7248	chr3	50323480	50326949	IFRD2	NM_006764	4811	-52		
15475	chr7	116588580	116591829	ST7-AS1	NR_002330	4183	2296		
15475	chr7	116588580	116591829	ST7	NM_021908	-3176	-273756		
15475	chr7	116588580	116591829	ST7	NM_018412	-3176	-279870		
15475	chr7	116588580	116591829	ST7-OT4	NR_002329	-3748	-9662		
413	chr1	16337830	16349649	HSPB7	NM_014424	1545	-3217		
413	chr1	16337830	16349649	CLCNKA	NM_001042704	-4746	-16805		
413	chr1	16337830	16349649	CLCNKA	NM_004070	-4746	-16805		
413	chr1	16337830	16349649	CLCNKA	NM_001257139	-4746	-16805		
28902	chr16	67700130	67702549	ENKD1	NM_032140	-712	-4490		
28902	chr16	67700130	67702549	C16orf86	NM_001012984	623	-1321		
761	chr1	27699250	27701399	FCN3	NM_003665	990	-4724		
761	chr1	27699250	27701399	FCN3	NM_173452	990	-4724		
7168	chr3	48645280	48647579	UQCRC1	NM_003365	668	-9998		
23038	chr12	7065200	7074549	MIR200C	NR_029779	-2987	-3054		
23038	chr12	7065200	7074549	MIR141	NR_029682	-3385	-3479		
35868	chr22	47022480	47025799	GRAMD4	NM_015124	1482	-51548		
17391	chr8	145652030	145657279	VPS28	NM_016208	-709	-5671		
17391	chr8	145652030	145657279	VPS28	NM_183057	-709	-5671		
30290	chr17	41923180	41927749	CD300LG	NM_001168324	949	-9663		
30290	chr17	41923180	41927749	CD300LG	NM_001168323	949	-10137		
30290	chr17	41923180	41927749	CD300LG	NM_001168322	949	-10137		
30290	chr17	41923180	41927749	CD300LG	NM_145273	949	-15532		
29111	chr16	81475680	81482179	CMIP	NM_198390	155	-266437		
28031	chr16	427600	430899	TMEM8A	NM_021259	2700	-8474		
28031	chr16	427600	430899	LOC100134368	NR_024453	-2991	-13710		
14811	chr7	45195050	45197099	RAMP3	NM_005856	-1292	-27775		
8862	chr3	196667800	196671699	NCBP2	NM_001308036	-439	-7477		
8862	chr3	196667800	196671699	NCBP2	NM_007362	-286	-7477		
8862	chr3	196667800	196671699	NCBP2	NM_001042540	-286	-7477		
8862	chr3	196667800	196671699	NCBP2-AS2	NR_024388	256	-1134		
22658	chr11	124765550	124772199	ROBO4	NM_001301088	-1044	-14761		
22658	chr11	124765550	124772199	ROBO4	NM_019055	-1044	-14761		
26822	chr15	40613850	40616049	INAFM2	NM_001301268	-1307	-3966		
20929	chr11	2910230	2912229	CDKN1C	NM_001122631	-4235	-6782		
20929	chr11	2910230	2912229	CDKN1C	NM_001122630	-4235	-6782		
20929	chr11	2910230	2912229	CDKN1C	NM_000076	-4235	-6782		
35477	chr22	36005130	36020099	MB	NM_005368	769	-9804		
35477	chr22	36005130	36020099	MB	NM_203378	940	-9804		
21890	chr11	67270450	67277679	PITPNM1	NM_004910	-1222	-14826		
21890	chr11	67270450	67277679	PITPNM1	NM_001130848	-1222	-14826		
21890	chr11	67270450	67277679	CDK2AP2	NM_001271849	1593	-104		
21890	chr11	67270450	67277679	CDK2AP2	NR_073484	1593	-104		
21890	chr11	67270450	67277679	CDK2AP2	NM_005851	2134	-104		
7230	chr3	49839150	49847149	FAM212A	NM_203370	2463	687		
7230	chr3	49839150	49847149	MIR5193	NR_049825	528	420		
33214	chr19	47548900	47552299	TMEM160	NM_017854	1282	-1433		
5329	chr2	128400730	128402849	LIMS2	NM_001256542	4038	-5794		
5329	chr2	128400730	128402849	GPR17	NM_001161415	-1649	-8423		
5329	chr2	128400730	128402849	GPR17	NM_005291	-1649	-8423		
5329	chr2	128400730	128402849	GPR17	NM_001161417	-1649	-8423		
5329	chr2	128400730	128402849	GPR17	NM_001161416	-1649	-8423		
14755	chr7	44101430	44106729	PGAM2	NM_000290	1106	-1754		
34856	chr21	44894180	44902029	LINC00313	NR_026863	-2	-16131		
35075	chr22	20103200	20105499	TRMT2A	NM_022727	468	-4961		
35075	chr22	20103200	20105499	TRMT2A	NM_182984	468	-4961		
35075	chr22	20103200	20105499	TRMT2A	NM_001257994	468	-4961		
35075	chr22	20103200	20105499	MIR6816	NR_106874	-2076	-2141		
35075	chr22	20103200	20105499	RANBP1	NM_001278639	889	-10530		
35075	chr22	20103200	20105499	RANBP1	NM_001278640	-597	-10530		
35075	chr22	20103200	20105499	RANBP1	NM_002882	-597	-10530		
35075	chr22	20103200	20105499	RANBP1	NM_001278641	-1126	-10530		
8607	chr3	183902130	183905599	ABCF3	NM_018358	2	-7930		
30499	chr17	48619730	48621949	SPATA20	NM_022827	-3610	-12373		
30499	chr17	48619730	48621949	SPATA20	NM_001258372	-3610	-12373		
30499	chr17	48619730	48621949	SPATA20	NM_001258373	-3610	-12373		
25544	chr14	23902280	23915729	MYH7	NM_000257	-4110	-27058		
9619	chr4	106628350	106631429	INTS12	NM_001142471	-9	-26105		
9619	chr4	106628350	106631429	INTS12	NM_020395	-9	-26105		
9619	chr4	106628350	106631429	GSTCD	NM_024751	-51	-138992		
