Peak ID	Chromosome	Peak start†	Peak end†	Gene name	RefSeq transcript ID	Distance to TSS	Distance to TES
31738	chr18	47017100	47019279	SNORD58C	NR_003701	-2496	-2585
31738	chr18	47017100	47019279	SNORD58A	NR_002571	-473	-537
31738	chr18	47017100	47019279	SNORD58B	NR_002572	-91	-156
1818	chr1	95388530	95396299	CNN3	NM_001286056	-1051	-29910
1818	chr1	95388530	95396299	CNN3	NM_001839	364	-29910
1818	chr1	95388530	95396299	CNN3	NM_001286055	364	-29910
1818	chr1	95388530	95396299	LOC729970	NR_033998	-1169	-36411
34577	chr21	17959050	17961729	MIR125B2	NR_029694	-2167	-2255
14620	chr7	30506700	30521899	NOD1	NM_006092	4093	-50157
19135	chr10	10837450	10842499	SFTA1P	NR_027082	-3098	-13573
33983	chr20	33102250	33105699	DYNLRB1	NM_014183	-214	-24787
33983	chr20	33102250	33105699	DYNLRB1	NM_001281729	-214	-24787
33983	chr20	33102250	33105699	DYNLRB1	NM_177953	-214	-24787
33983	chr20	33102250	33105699	DYNLRB1	NM_001281728	-214	-24787
33983	chr20	33102250	33105699	DYNLRB1	NM_001281727	-214	-24787
33983	chr20	33102250	33105699	DYNLRB1	NR_104032	-214	-24787
33928	chr20	30696380	30699129	TM9SF4	NM_014742	446	-57306
23632	chr12	56210030	56213579	SARNP	NR_026723	-265	-65558
23632	chr12	56210030	56213579	SARNP	NR_026722	-265	-65558
23632	chr12	56210030	56213579	SARNP	NM_033082	-265	-60751
23632	chr12	56210030	56213579	ORMDL2	NM_014182	-1	-3154
17605	chr9	21993950	21996999	CDKN2A	NM_058195	-985	-27724
17605	chr9	21993950	21996999	CDKN2B-AS1	NR_047542	685	-82414
17605	chr9	21993950	21996999	CDKN2B-AS1	NR_047541	685	-82414
17605	chr9	21993950	21996999	CDKN2B-AS1	NR_047540	685	-82414
17605	chr9	21993950	21996999	CDKN2B-AS1	NR_047539	685	-82414
17605	chr9	21993950	21996999	CDKN2B-AS1	NR_047533	685	-82414
17605	chr9	21993950	21996999	CDKN2B-AS1	NR_003529	685	-125618
17605	chr9	21993950	21996999	CDKN2B-AS1	NR_047543	685	-125618
17605	chr9	21993950	21996999	CDKN2B-AS1	NR_047538	685	-125618
17605	chr9	21993950	21996999	CDKN2B-AS1	NR_047537	685	-125618
17605	chr9	21993950	21996999	CDKN2B-AS1	NR_047536	685	-125618
17605	chr9	21993950	21996999	CDKN2B-AS1	NR_047535	685	-125618
17605	chr9	21993950	21996999	CDKN2B-AS1	NR_047534	685	-125618
17605	chr9	21993950	21996999	CDKN2B-AS1	NR_047532	685	-125618
17605	chr9	21993950	21996999	CDKN2B-AS1	NR_120536	685	-125618
34383	chr20	50176580	50181229	NFATC2	NM_001258295	465	-175411
34383	chr20	50176580	50181229	NFATC2	NM_001258292	465	-175411
34383	chr20	50176580	50181229	NFATC2	NM_001258294	465	-175411
34383	chr20	50176580	50181229	NFATC2	NM_001136021	465	-175411
15161	chr7	89873400	89876049	CFAP69	NM_001160138	237	-65652
15161	chr7	89873400	89876049	CFAP69	NM_001039706	237	-65652
9724	chr4	120546050	120550579	PDE5A	NM_033430	127	-132765
9724	chr4	120546050	120550579	PDE5A	NM_033437	924	-132765
9724	chr4	120546050	120550579	PDE5A	NM_001083	1666	-132765
15413	chr7	107639600	107645049	LAMB1	NM_002291	1479	-78079
32962	chr19	39934750	39937949	SUPT5H	NM_001130824	164	-30958
32962	chr19	39934750	39937949	SUPT5H	NM_001111020	164	-30958
32962	chr19	39934750	39937949	SUPT5H	NM_001130825	164	-30958
32962	chr19	39934750	39937949	SUPT5H	NM_003169	62	-30958
28374	chr16	19126650	19132299	ITPRIPL2	NM_001034841	4221	-3477
28374	chr16	19126650	19132299	ITPRIPL2	NR_028028	4221	-3477
19697	chr10	62331500	62333629	ANK3	NM_001204404	149	-546509
23316	chr12	31810630	31813549	ETFBKMT	NM_173802	-31	-9926
23316	chr12	31810630	31813549	ETFBKMT	NM_001135863	-519	-9926
27373	chr15	71059230	71062099	UACA	NM_018003	-4815	-113772
25664	chr14	35449630	35453499	SRP54	NM_003136	-539	-47208
25664	chr14	35449630	35453499	SRP54	NM_001146282	-539	-47208
2650	chr1	174767400	174770379	RABGAP1L	NM_001243765	-145	-195555
23781	chr12	66580200	66586079	IRAK3	NM_001142523	162	-65254
23781	chr12	66580200	66586079	IRAK3	NM_007199	162	-65254
13974	chr6	152011080	152013599	ESR1	NM_001122742	709	-412068
16457	chr8	38756580	38768499	PLEKHA2	NM_021623	3787	-68890
8784	chr3	193719400	193723349	LOC647323	NR_033944	73	-46214
30047	chr17	33568050	33572649	SLFN5	NM_144975	264	-24411
5173	chr2	109236050	109238149	LIMS1	NM_001193484	-602	-66602
23597	chr12	54068250	54072479	ATP5G2	NM_005176	-256	-11421
23597	chr12	54068250	54072479	ATP5G2	NM_001002031	147	-11421
23848	chr12	76421480	76425399	PHLDA1	NM_007350	2116	-4213
17145	chr8	128746080	128752599	CASC11	NR_117102	-3127	-36487
17145	chr8	128746080	128752599	CASC11	NR_117101	-3127	-6900
17145	chr8	128746080	128752599	MYC	NM_002467	1025	-4340
11134	chr5	121647450	121649529	SNCAIP	NR_131762	1104	-151424
11134	chr5	121647450	121649529	SNCAIP	NM_005460	726	-151424
11134	chr5	121647450	121649529	SNCAIP	NM_001308100	726	-151424
11134	chr5	121647450	121649529	SNCAIP	NM_001308107	726	-151424
11134	chr5	121647450	121649529	SNCAIP	NM_001308109	726	-151424
11134	chr5	121647450	121649529	SNCAIP	NM_001242935	726	-151424
1043	chr1	40096930	40107599	HEYL	NM_014571	3083	-13162
9446	chr4	81104650	81107449	PRDM8	NM_020226	-374	-19432
31653	chr18	42260150	42263649	SETBP1	NM_001130110	1762	-195479
31653	chr18	42260150	42263649	SETBP1	NM_015559	1037	-386575
9196	chr4	38663350	38677349	KLF3-AS1	NR_026804	-4101	-56028
9196	chr4	38663350	38677349	KLF3	NM_016531	4560	-32779
27875	chr15	93615750	93617799	RGMA	NM_001166286	-386	-30139
27875	chr15	93615750	93617799	RGMA	NM_001166289	164	-30139
27875	chr15	93615750	93617799	RGMA	NM_001166288	164	-30139
27875	chr15	93615750	93617799	RGMA	NM_001166283	441	-30139
20417	chr10	104531680	104547499	WBP1L	NM_017787	3702	-36431
27092	chr15	60682100	60690599	ANXA2	NM_004039	3835	-47000
27092	chr15	60682100	60690599	ANXA2	NM_001136015	3835	-47000
27092	chr15	60682100	60690599	ANXA2	NM_001002857	3835	-47000
27092	chr15	60682100	60690599	ANXA2	NM_001002858	3835	-47000
32627	chr19	16934930	16936999	SIN3B	NM_015260	-4233	-55199
32627	chr19	16934930	16936999	SIN3B	NM_001297595	-4233	-55199
17035	chr8	121820400	121825749	SNTB1	NM_021021	1234	-275090
840	chr1	31536250	31538879	PUM1	NM_001020658	999	-133212
840	chr1	31536250	31538879	PUM1	NM_014676	999	-133212
19225	chr10	14644500	14648049	FAM107B	NM_001282697	142	-85719
19225	chr10	14644500	14648049	FAM107B	NM_001282696	142	-85719
10641	chr5	54827750	54832679	PLPP1	NM_003711	691	-109545
10641	chr5	54827750	54832679	PLPP1	NM_176895	691	-109545
10641	chr5	54827750	54832679	PLPP1	NR_103485	691	-109545
10641	chr5	54827750	54832679	RNF138P1	NR_001575	155	-5545
2741	chr1	182556350	182559799	RNASEL	NM_021133	319	-15306
29747	chr17	16943400	16952699	MPRIP	NM_201274	1976	-147912
29747	chr17	16943400	16952699	MPRIP	NM_015134	1976	-147912
20614	chr10	120100350	120102399	FAM204A	NM_001134672	464	-32803
20614	chr10	120100350	120102399	FAM204A	NM_022063	464	-32803
12628	chr6	27838500	27841899	HIST1H1B	NM_005322	-4841	-5630
12628	chr6	27838500	27841899	HIST1H3I	NM_003533	-101	-577
12628	chr6	27838500	27841899	HIST1H4L	NM_003546	1089	726
16275	chr8	25895730	25903479	EBF2	NM_022659	3035	-200359
7593	chr3	71591250	71593449	FOXP1	NM_001244816	358	-588485
7593	chr3	71591250	71593449	MIR1284	NR_031697	-1110	-1229
477	chr1	19280300	19282649	IFFO2	NM_001136265	1351	-50701
24885	chr13	40794430	40797179	LINC00548	NR_033877	-1166	-27159
10905	chr5	79286750	79288749	MTX3	NM_001167741	-662	-15211
10905	chr5	79286750	79288749	MTX3	NM_001010891	-662	-15211
10905	chr5	79286750	79288749	THBS4	NM_001306212	631	-91357
10905	chr5	79286750	79288749	THBS4	NM_001306213	631	-91357
30732	chr17	62306930	62310049	TEX2	NM_001288733	-374	-83697
19574	chr10	44400300	44403199	LINC00841	NR_033846	-3002	-63605
3902	chr2	17993530	17995749	MSGN1	NM_001105569	-3146	-3727
							
		

