Chr	Start	End	Name
chr13	110911480	110919829	25350
chr6	27838500	27841899	12628
chr14	55566930	55576829	25820
chr9	99316480	99320229	18102
chr12	125183150	125187079	24541
chr13	27034330	27036379	24706
chr8	25895730	25903479	16275
chr3	71591250	71593449	7593
chr1	19280300	19282649	477
chr13	40794430	40797179	24885
chr1	95444550	95446699	1823
chr12	53885300	53889329	23588
chr6	39788080	39790549	12993
chr5	79286750	79288749	10905
chr17	69970730	69972849	30837
chr14	89817600	89819699	26297
chr15	101737480	101743149	27994
chr17	62306930	62310049	30732
chr1	117460780	117463199	2066
chr5	43104580	43106749	10585
chr10	44400300	44403199	19574
chr12	54750850	54755479	23613
chr11	59316750	59319849	21591
chr15	84432550	84434599	27643
chr2	17993530	17995749	3902
